Pub,Area,Author,Location,Beer Selection,Value,Facilities,Vibe,Total /25,Score /10,Rank,Lat,Lng,Place ID,Date of Entry
The Engineer's House,Cambridge,Tommy,4.0,4.0,2.0,5.0,4.0,19.0,7.60,5,52.2124685,0.1427534,ChIJxeuMg6Jx2EcR6GxgQkJmWlo,
The Green Dragon,Cambridge,Tommy,3.0,3.0,2.0,4.0,3.0,15.0,6.00,42,52.2179255,0.1455132,ChIJNTw1yFhw2EcRXfC0X4wAZ4Q,
Fort St George,Cambridge,Tommy,4.0,3.0,3.0,2.0,2.0,14.0,5.60,45,52.2124768,0.1277925,ChIJbVXotOxw2EcRdTAkLPgP-zs,
The Portland Arms,Cambridge,Tommy,3.0,4.0,3.0,3.0,3.0,16.0,6.40,35,52.2144396,0.1247154,ChIJ8QLgEetw2EcRkEQp5VqEY9w,
The Boathouse,Cambridge,Tommy,4.0,3.0,4.0,4.0,2.0,17.0,6.80,25,52.2136824,0.1236150,ChIJC42pIutw2EcRrs0_hqpsZLs,
Byron's,Cambridge,Tommy,4.0,3.0,3.0,4.0,4.0,18.0,7.20,17,52.2086593,0.1184641,ChIJBSD7Q75w2EcRnrNDytU73RE,
The Sportsman,"Bristol, Ashley Down",Tommy,3.5,2.0,3.8,4.6,3.8,17.7,7.08,19,51.4791919,-2.5869456,ChIJg4ju3ASOcUgRcdAPFPrUOIg,
The Farm,"Bristol, St Werburghs",Tommy,4.0,4.0,3.5,3.8,4.5,19.8,7.92,4,51.4744677,-2.5780511,ChIJK7-6IheOcUgRRibRg3fvnBc,
Arnolfini,"Bristol, Waterfront",Tommy,4.8,4.0,2.9,3.5,3.8,19.0,7.60,5,51.4493123,-2.5973741,ChIJPTid29WNcUgRr1GAe7m5AF8,
Wiper and True Taproom,"Bristol, Old Market",Tommy,2.2,4.8,2.5,4.2,2.4,16.1,6.44,34,51.4589496,-2.5747785,ChIJIXMehiiPcUgRgmA1wr6lVlU,
The Old Duke,"Bristol, Kings Street",Tommy,4.3,3.8,3.5,4.8,4.2,20.6,8.24,1,51.4521295,-2.5932412,ChIJ34Js-niOcUgRJhPD6HuRvT4,
Blue Lagoon,"Bristol, Gloucester Road",Tommy,3.0,3.0,4.0,3.0,2.1,15.1,6.04,41,51.4713676,-2.5930445,ChIJr0gmaQmOcUgRfiRbFuGudYA,
The Gallimaufry,"Bristol, Gloucester Road",Tommy,3.0,3.8,4.0,3.6,3.8,18.2,7.28,16,51.4716644,-2.5926800,ChIJqZCmOAmOcUgRQRj2f0tjrIY,
Beer Emporium,"Bristol, Kings Street",Tommy,4.0,4.8,2.5,2.8,3.0,17.1,6.84,24,51.4517437,-2.5943596,ChIJ_XS-j3iOcUgRFgB3qNXySHY,
The Lazy Dog,"Bristol, Ashley Down",Tommy,2.8,3.6,3.2,3.6,4.0,17.2,6.88,23,51.4814778,-2.5827833,ChIJkZrhfxyOcUgRBw_KuwTDlxU,
Sydney and Eden,"Bristol, Gloucester Road",Tommy,3.4,4.3,3.6,3.7,4.0,19.0,7.60,5,51.4786811,-2.5898286,ChIJIX4Sz2qPcUgRSrBlz0OFNLY,
King Street Brew House,"Bristol, Hawkins Lane",Tommy,4.0,3.5,2.5,3.2,3.1,16.3,6.52,32,51.4521939,-2.5928042,ChIJs_-N9niOcUgRASDu5HB59I0,
Left Handed Giant,Bristol,Tommy,4.2,4.5,3.2,4.0,4.0,19.9,7.96,3,51.4560618,-2.5720579,ChIJr6G_oEKOcUgREiN2aizKOCo,
The Annex Inn,"Bristol, Ashley Down",Tommy,3.5,3.0,3.5,3.8,3.8,17.6,7.04,20,51.4793777,-2.5865542,ChIJZ96sKAWOcUgRoC2Ozzk2Vf0,
The Royal Oak,"Bristol, Horfield",Tommy,2.5,2.8,3.0,3.4,2.6,14.3,5.72,44,51.4834812,-2.5866774,ChIJB6A6KQOOcUgRIHv7lLs4-Ys,
The Drapers Arms,"Bristol, Horfield",Tommy,2.8,3.8,4.5,3.5,4.0,18.6,7.44,11,51.4853234,-2.5858783,ChIJt4RdSh2OcUgRR6XI4OM-xY8,
The Grace,"Bristol, Gloucester Road",Tommy,3.0,3.2,3.0,3.8,3.5,16.5,6.60,30,51.4752209,-2.5908556,ChIJ8XHUTg-OcUgRNZqh0yo4cxg,
The Bristol Flyer,"Bristol, Gloucester Road",Tommy,3.0,3.0,3.4,3.6,3.0,16.0,6.40,35,51.4746798,-2.5916854,ChIJHyditQiOcUgRFx3ZVYYoMp8,
Prince of Wales,"Bristol, Gloucester Road",Tommy,3.3,3.3,3.5,3.8,3.7,17.6,7.04,21,51.4704711,-2.5933746,ChIJOQKf2AuOcUgRZvulo7Wxd1g,
Wiper and True Barrel Store,"Bristol, St Werburghs",Tommy,3.0,4.4,3.5,3.8,3.9,18.6,7.44,13,51.4698570,-2.5762604,ChIJl__R2nOOcUgRMw0Cp6cg3ME,
The Cadbury,"Bristol, Montpelier",Tommy,3.7,3.7,3.5,4.1,4.0,19.0,7.60,5,51.4674399,-2.5865995,ChIJjcwBIA2OcUgRkzvWB4nlyHc,
The Beehive,"Bristol, Southmead",Tommy,2.6,2.0,3.5,1.8,3.5,13.4,5.36,46,51.4916619,-2.5959954,ChIJiQj337mRcUgR3PABLo9ViA4,
Hobgoblin,"Bristol, Gloucester Road",Tommy,3.4,3.7,3.2,2.9,3.1,16.3,6.52,32,51.4720068,-2.5917461,ChIJ42daNAmOcUgRoAhyJLvsBhI,
The GRAK,"Bristol, Gloucester Road",Tommy,3.2,3.7,3.2,3.0,3.9,17.0,6.80,25,51.4726740,-2.5910218,ChIJuUB6zQ6OcUgRNhNGxZdccBI,
Mickey Zoggs,"Bristol, Gloucester Road",Tommy,2.9,3.0,3.3,3.3,4.4,16.9,6.76,29,51.4679893,-2.5916456,ChIJORpoA0mPcUgR-k9a-BDD548,
Bishops Tavern,"Bristol, Gloucester Road",Tommy,2.7,3.3,3.0,2.1,3.5,14.6,5.84,43,51.4697950,-2.5937928,ChIJWQx5ywuOcUgR0Qt-1cqovKg,
Cat & Wheel,Bristol,Tommy,2.7,3.3,2.3,1.5,2.0,11.8,4.72,48,51.4688611,-2.5930909,ChIJj6i3uwuOcUgR0Kal5-etOmk,
Highbury Vaults,"Bristol, St Michael's Hill",Tommy,3.5,3.5,4.0,3.8,3.8,18.6,7.44,11,51.4614547,-2.6024811,ChIJEcyYnd6NcUgRmDydxn7uOs8,
The Kingsdown Vaults,"Bristol, Cotham",Tommy,2.9,3.2,3.2,2.9,3.5,15.7,6.28,39,51.4617164,-2.5967333,ChIJZ3N4aN-NcUgRNEwTDx6BKg0,
The Mothers' Ruin,"Bristol, St Nicholas St",Tommy,4.0,3.2,3.5,4.2,3.8,18.7,7.48,10,51.4538571,-2.5930902,ChIJwcOwNniOcUgRfNWwiAPTZNc,
Seamus O'Donnells,"Bristol, St Nicholas St",Tommy,4.0,2.5,2.5,2.0,2.3,13.3,5.32,47,51.4537873,-2.5932603,ChIJFY4cNHiOcUgRawyXpkvxpJ0,
The Salt Quays,"London, Rotherhithe",Ed,3.5,3,2.5,3,4,16,6.40,35,51.5046493,-0.0475493,ChIJhwNp3icDdkgRZ0eKNc_cQP0,
King Street Brewhouse,"Cambridge, Kings Street",James,3.5,3.5,3,3.5,4,17.5,7.00,22,52.2074402,0.122225,ChIJMUek3pVw2EcRDhoCVqqsBG4,
The George and Monkey,"London, 68 Amwell Street ",James,3,4,3,1.5,4,15.5,6.20,40,51.5299178,-0.1102592,ChIJkUpfR6UbdkgRPAksNQtOKQM,2026-07-18
The Royal Oak,Bromyard Downs,Laura,3,3.5,4,3.5,3,17,6.80,25,52.2006655,-2.4834057,ChIJlc-SDzdacEgRcD-RH7QAHEQ,2026-07-19
The Sportsman,"Bristol, Nevil Road, Bishopston",Abbie,2.5,2,3.5,4.5,3.5,16,6.40,35,51.4791919,-2.5869456,ChIJg4ju3ASOcUgRcdAPFPrUOIg,2026-07-20 08:08
The Royal,"Cheltenham, Horsefair Street",Abbie,4.5,3,3,3.5,4,18,7.20,17,51.8822408,-2.0531095,ChIJbQ6Af84bcUgRpelUPS8poPY,2026-07-20 08:12
Sandford Park Alehouse,"Cheltenham, High Street",Abbie,2.5,4.5,3,2.5,4.5,17,6.80,25,51.8967972,-2.0700056,ChIJN125CL4bcUgRrkO2Ydb9vXw,2026-07-20 08:13
Deya Brewing Company,"Cheltenham, Lansdown Industrial Estate",Abbie,1.5,4.5,4,4,4.5,18.5,7.40,14,51.8991334,-2.1000989,ChIJ434uinIbcUgRhw5rQS1L7MY,2026-07-20 08:17
The Royal,"Cheltenham, Horsefar Street",Tommy,3.5,2.3,3,4.1,3.6,16.5,6.60,30,51.8822408,-2.0531095,ChIJbQ6Af84bcUgRpelUPS8poPY,2026-07-20 08:38
Deya Brewing Company,Cheltenham,Tommy,3.4,4.9,4.2,4.2,3.7,20.4,8.16,2,51.8991334,-2.1000989,ChIJ434uinIbcUgRhw5rQS1L7MY,2026-07-20 09:40
The Broad Chare,Newcastle,Tommy,3.9,4.3,2.7,4,3.4,18.3,7.32,15,54.9698499,-1.6046086,ChIJ-4RcsblwfkgRFDoYJIdu51I,2026-07-20 12:09
The Strand,"Cheltenham, High Street",Abbie,2.5,4.5,3.6,4.4,4,19,7.6,5,51.8975,-2.0708333,ChIJLyaPApYbcUgRTIOEJEEMWek,2026-07-21 04:30